scenario name,program,bug revision,fix revision, minutes between bug rev and fix rev,files edited,lines added or changed,lines deleted or changed,Bug report priority,Security related?,Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,Bug management links,Bug type,Additional bug detail,
php-bug-2011-12-18-beda5efd41-622412d8e6,php,beda5efd41,622412d8e6,1250,1,20,2,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60362,Incorrect behavior or incorrect output; fixing a regression,,XX maybe check me?  Lots more tests than I'd expect
php-bug-2012-01-01-7c3177e5ab-e2a2ed348f,php,7c3177e5ab,e2a2ed348f,53,1,240,227,Bug report is marked private. No Bug report data available.,Yes,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=55871,Not available,"""Interruption in substr_replace()""",
php-bug-2012-01-01-80dd931d40-7c3177e5ab,php,80dd931d40,7c3177e5ab,3,1,7,3,Bug report is marked private. No Bug report data available.,Yes,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=55500,Incorrect behavior or incorrect output,,
php-bug-2012-01-13-583292ab22-d74a258f24,php,583292ab22,d74a258f24,919,1,63,24,,,No,No,No,Yes,Yes,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=60573,Should raise error but doesn't,,
php-bug-2012-01-16-36df53421e-f32760bd40,php,36df53421e,f32760bd40,451,1,6,5,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60768,Memory leak,,
php-bug-2012-01-16-f32760bd40-032d140fd6,php,f32760bd40,032d140fd6,857,5,1202,1303,,,No,Yes,No,Yes,Yes,No,Yes,No,No,,Improved implementation,,
php-bug-2012-01-17-032d140fd6-877f97cde1,php,032d140fd6,877f97cde1,2,1,6,6,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=55214,Incorrect behavior or incorrect output,,
php-bug-2012-01-17-e76c1cc03c-ebddf8a975,php,e76c1cc03c,ebddf8a975,46,1,0,54,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=48034,Reversion; Fatal error of unspecified type,,
php-bug-2012-01-27-544e36dfff-acaf9c5227,php,544e36dfff,acaf9c5227,469,1,7,0,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60860,Segfault,,
php-bug-2012-01-29-d8b312845c-dc27324dd9,php,d8b312845c,dc27324dd9,1,1,126,0,,,No,No,No,Yes,No,Yes,Yes,Yes,Yes,https://bugs.php.net/bug.php?id=55226,Feature request; minor functionality add,,
php-bug-2012-01-30-9de5b6dc7c-4dc8b1ad11,php,9de5b6dc7c,4dc8b1ad11,,1,8,0,https://bugs.php.net/bug.php?id=60801,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,https://bugs.php.net/bug.php?id=60801,Incorrect behavior or incorrect output,,
php-bug-2012-02-08-ff63c09e6f-6672171672,php,ff63c09e6f,6672171672,664,1,1,1,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=61000,Incorrect behavior or incorrect output; memory management,,
php-bug-2012-02-12-3d898cfa3f-af92365239,php,3d898cfa3f,af92365239,33,1,7,6,,,No,No,No,Yes,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=61058,Memory leak,,
php-bug-2012-02-18-0a91432828-032bbc3164,php,0a91432828,032bbc3164,100,1,3,3,,,No,No,No,No,No,No,No,No,No,,Off by 1,,
php-bug-2012-02-20-0cb26060af-eefefddc0e,php,0cb26060af,eefefddc0e,147,1,188,184,,,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=61095,Incorrect behavior or incorrect output; bounds check,,
php-bug-2012-02-25-38b549ea2f-1923ecfe25,php,38b549ea2f,1923ecfe25,41,1,2,3,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=61165,Segfault,"fix is for bug 61165, since first fix for 61165 caused 45450 to fail",
php-bug-2012-02-25-c1322d2505-cfa9c90b20,php,c1322d2505,cfa9c90b20,76,1,7,2,,,No,No,No,Yes,No,Yes,No,No,No,https://bugs.php.net/bug.php?id=61165,Segfault,,
php-bug-2012-03-02-730b54a374-1953161b8c,php,730b54a374,1953161b8c,148,1,191,187,,,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=61225,Incorrect behavior or incorrect output,,
php-bug-2012-03-04-60dfd64bf2-34fe62619d,php,60dfd64bf2,34fe62619d,7,1,1,1,,,No,No,Yes,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60911,Incorrect behavior or incorrect output; modified error output for usability,,
php-bug-2012-03-04-bda5ea7111-60dfd64bf2,php,bda5ea7111,60dfd64bf2,182,1,23,13,,,No,No,No,Yes,Yes,Yes,No,No,Yes,https://bugs.php.net/bug.php?id=60717,Incorrect behavior or incorrect output; fatal error of unspecified type,,
php-bug-2012-03-06-6237456cae-5e80c05deb,php,6237456cae,5e80c05deb,484,1,23,8,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,https://bugs.php.net/bug.php?id=61173,Should raise error but doesn't,,
php-bug-2012-03-08-0169020e49-cdc512afb3,php,0169020e49,cdc512afb3,8,1,1,1,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=61253,Segfault,,
php-bug-2012-03-08-d54e6ce832-23e65a9dcc,php,d54e6ce832,23e65a9dcc,1265,1,26,0,,,No,No,No,Yes,No,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=61326,Incorrect behavior or incorrect output,,
php-bug-2012-03-10-23e65a9dcc-e6ec1fb166,php,23e65a9dcc,e6ec1fb166,908,1,35,38,,,No,No,Yes,No,Yes,Yes,No,No,No,https://bugs.php.net/bug.php?id=61347,Incorrect behavior or incorrect output,,
php-bug-2012-03-11-3954743813-d4f05fbffc,php,3954743813,d4f05fbffc,152,1,1,1,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=60569,Incorrect behavior or incorrect output,,
php-bug-2012-03-12-438a30f1e7-7337a901b7,php,438a30f1e7,7337a901b7,121,1,9,0,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60222,Incorrect behavior or incorrect output; input validation,,
php-bug-2012-03-12-7aefbf70a8-efc94f3115,php,7aefbf70a8,efc94f3115,1439,1,3,2,,,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=61374,Incorrect behavior or incorrect output,,
php-bug-2012-03-19-53e3467ff2-9a460497da,php,53e3467ff2,9a460497da,28,1,82,48,,,No,No,No,Yes,No,Yes,Yes,Yes,Yes,https://bugs.php.net/bug.php?id=60455 https://bugs.php.net/bug.php?id=60817,Deadlock,Program hangs due to unreleased lock,
php-bug-2012-03-22-3efc9f2f78-2e19cccad7,php,3efc9f2f78,2e19cccad7,475,1,15,32,,,No,No,No,Yes,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=61418 https://bugs.php.net/bug.php?id=61482,Segfault,,
python-bug-69223-69224,python,69223,69224,649,1,5,0,Normal,,No,No,No,Yes,No,No,Yes,No,No,http://bugs.python.org/issue11757,Incorrect behavior; runtime error,,
python-bug-69368-69372,python,69368,69372,1350,1,18,0,Normal,,No,No,No,Yes,No,No,Yes,No,No,http://bugs.python.org/issue5057,Incorrect behavior; Portability; AssertionError,,
python-bug-69470-69474,python,69470,69474,138,3,26,45,Normal,,Yes,No,No,Yes,Yes,No,No,No,No,http://bugs.python.org/issue11828,Incorrect behavior or incorrect output; Runtime error,,
python-bug-69609-69616,python,69609,69616,384,11,129,68,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,Merge,,
python-bug-69709-69710,python,69709,69710,33,3,69,51,Normal,,No,Yes,No,Yes,No,Yes,Yes,No,No,http://bugs.python.org/issue11223,Deadlock,Program hangs due to unreleased lock,
python-bug-69740-69743,python,69740,69743,35,1,6,3,Normal,,No,No,Yes,Yes,Yes,No,No,No,No,http://bugs.python.org/issue9756,Crash; Segfault; Fatal error of unspecified type,,
python-bug-69783-69784,python,69783,69784,1205,2,15,60,Normal,No,No,No,No,Yes,Yes,No,No,No,No,http://bugs.python.org/issue11930,Incorrect behavior or incorrect output; y2k,,
python-bug-69785-69789,python,69785,69789,73,2,0,26,,,No,No,No,No,No,No,No,No,No,,Not available,,
python-bug-69831-69833,python,69831,69833,126,2,17,4,High,,No,No,No,Yes,No,Yes,Yes,No,No,http://bugs.python.org/issue1856,Segfault,,
python-bug-69934-69935,python,69934,69935,17,1,5,2,Normal,No,No,No,Yes,No,No,Yes,No,No,No,http://bugs.python.org/issue8407,Enhancement,,
python-bug-69945-69946,python,69945,69946,18,1,59,0,Normal,No,No,No,No,Yes,No,Yes,Yes,No,Yes,http://bugs.python.org/issue11888,Feature add,,
python-bug-70019-70023,python,70019,70023,69,1,15,2,Normal,,No,No,No,Yes,No,No,Yes,No,No,http://bugs.python.org/issue12051,Segfault,,
python-bug-70056-70059,python,70056,70059,529,1,1,1,Release blocker,,No,No,No,No,Yes,No,No,No,No,http://bugs.python.org/issue12062,Incorrect behavior or incorrect output; data loss,,
python-bug-70098-70101,python,70098,70101,1402,1,12,7,Normal,,No,No,No,Yes,Yes,No,Yes,No,No,http://bugs.python.org/issue12050,Incorrect behavior or incorrect output,,
python-bug-70120-70124,python,70120,70124,892,1,14,23,Normal,,Yes,No,No,Yes,No,No,No,No,No,http://bugs.python.org/issue12059,Incorrect behavior or incorrect output,,
valgrind-bug-11613-11614,valgrind,11613,11614,2,2,17,9,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.kde.org/show_bug.cgi?id=267968,Assertion failure,,
valgrind-bug-11620-11619,valgrind,11620,11619,1434,1,22,0,,,No,No,No,Yes,No,Yes,No,No,No,,Regression,,
valgrind-bug-11621-11622,valgrind,11621,11622,138,1,14,18,,,No,No,No,Yes,No,No,Yes,No,No,,Segfault,,
valgrind-bug-11623-11624,valgrind,11623,11624,1263,1,6,3,,,No,No,Yes,No,No,No,No,No,No,https://bugs.kde.org/show_bug.cgi?id=243935,Incorrect behavior or incorrect output,,
valgrind-bug-11625-11627,valgrind,11625,11627,116,2,17,1,,,No,No,No,Yes,Yes,Yes,Yes,No,No,,Feature add,,
valgrind-bug-11635-11636,valgrind,11635,11636,18,2,17,4,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,Feature add,,
valgrind-bug-11636-11640,valgrind,11636,11640,1182,2,25,9,,,No,No,Yes,Yes,Yes,No,Yes,No,No,,Incorrect behavior in exceptional situation; incorrect error message,,
valgrind-bug-11771-11770,valgrind,11771,11770,1380,5,12,55,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.kde.org/show_bug.cgi?id=214909,Added functionality; regression,,
valgrind-bug-11817-11818,valgrind,11817,11818,143,1,1,4,,,No,No,No,No,No,No,No,No,No,https://bugs.kde.org/show_bug.cgi?id=214909,Memory/fd management,,
valgrind-bug-11821-11822,valgrind,11821,11822,1436,5,27,13,,,No,No,No,Yes,No,No,Yes,No,No,,Usability; improved debug logging,,
valgrind-bug-12410-12411,valgrind,12410,12411,904,4,59,11,,,No,No,No,Yes,Yes,No,Yes,No,No,https://bugs.kde.org/show_bug.cgi?id=294047,Incorrect behavior or incorrect output,,
valgrind-bug-12474-12473,valgrind,12474,12473,565,1,13,24,,,No,No,No,Yes,No,Yes,No,No,No,https://bugs.kde.org/show_bug.cgi?id=297147,Regression,,
valgrind-bug-12474-12475,valgrind,12474,12475,26,1,2,1,,,No,No,No,No,Yes,No,No,No,No,,Enhancement; usability; debugging output,,
valgrind-bug-12641-12642,valgrind,12641,12642,359,1,2,1,,,No,No,No,No,Yes,No,No,No,No,https://bugs.kde.org/show_bug.cgi?id=203877,Fatal error of unspecified type; memory,,
valgrind-bug-12854-12855,valgrind,12854,12855,1209,1,4,2,,,No,No,No,No,No,No,No,No,No,,Incorrect behavior or incorrect output; usability; debugging output,,
wireshark-bug-35419-35414,wireshark,35419,35414,494,3,89,1173,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Incorrect behavior or incorrect output,,
wireshark-bug-37112-37111,wireshark,37112,37111,1434,2,4,40,,,No,Yes,No,No,Yes,Yes,No,No,Yes,,Regression,,
wireshark-bug-37122-37123,wireshark,37122,37123,77,1,5,41,,,No,Yes,No,No,Yes,No,No,No,No,,Reversion,,
wireshark-bug-37171-37170,wireshark,37171,37170,1353,1,369,471,,,No,Yes,No,No,Yes,Yes,No,No,No,,Removed functionality; regression,,
wireshark-bug-37172-37171,wireshark,37172,37171,1393,1,7,6,,,No,No,No,Yes,Yes,No,Yes,No,No,,Fatal error of unspecified type; regression,,
wireshark-bug-37172-37173,wireshark,37172,37173,38,1,5,5,,,No,No,No,No,No,No,No,No,No,,Incorrect behavior; turn off debug output,,
wireshark-bug-37190-37191,wireshark,37190,37191,13,1,186,27,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Feature add,,
wireshark-bug-37284-37285,wireshark,37284,37285,2,1,4,4,,,No,No,No,No,No,No,No,No,No,,Enhancement,,
